S,p03,p04,p05,p06,p07,p08,p09
54,-4.6658343561064275e-05,-0.00012174878776272177,-0.0002010028429524536,-0.00027631482105711916,-0.000348830365969252,-0.00042498184055705566,-0.0005237017347147111
55,-8.355981567461397e-05,-0.00021381086311058343,-0.0003492710940618186,-0.0004768515449027804,-0.0005989413421037278,-0.0007265344750076406,-0.0008911782532408861
56,-0.00014587995530912964,-0.00036622604484478114,-0.0005921007644446692,-0.0008029899624421448,-0.0010035927858663054,-0.0012122502594102416,-0.0014802848445997175
57,-0.0002485439892655386,-0.0006124912731532383,-0.0009803390576905379,-0.0013208665163905696,-0.0016428846239833652,-0.0019762906150685004,-0.002402688883999067
58,-0.0004136850983942274,-0.001001219544209896,-0.0015869046194013274,-0.0021245882084260687,-0.0026301301520681854,-0.0031511962449152523,-0.003814733681796331
59,-0.0006733129325704652,-0.0016012446577936812,-0.0025138440831208916,-0.0033448448536077123,-0.004121789083223004,-0.00491907385736489,-0.005930097669397247
60,-0.0010726051188962033,-0.002507724611340625,-0.0039006135120742136,-0.0051588871956531265,-0.0063288615734107346,-0.00752431524436354,-0.009034047879450153
61,-0.0016738228321329012,-0.0038491678863253388,-0.005933422428911736,-0.007801627580388524,-0.009529424156099451,-0.011287452698375755,-0.013498795868872693
62,-0.0025607884630406822,-0.005795189302444418,-0.008855319685176057,-0.011577430748115047,-0.014081774653427958,-0.0166195185694108,-0.01979920330762427
63,-0.003843781653762012,-0.008564662385301635,-0.012976521058984556,-0.016871955135597406,-0.020437424796641974,-0.024036030308116806,-0.028527819093990967
64,-0.0056646120177266624,-0.012433781521926292,-0.01868429118781314,-0.024163196693612048,-0.029152956494815162,-0.03416948858585129,-0.04040798640205369
65,-0.008201517896959918,-0.01774339148786088,-0.026451514258968984,-0.03403069842370205,-0.04089956423600586,-0.04777908148617598,-0.05630356585969026
66,-0.01167342834000852,-0.024904799194270633,-0.036842938555509,-0.04716174263274348,-0.056468967391868685,-0.06575615969420306,-0.07722370941516857
67,-0.01634302022345397,-0.034403169582488694,-0.05051798017686182,-0.06435326221138762,-0.07677431653196959,-0.08912401130815768,-0.10432111425782839
68,-0.022517915827474956,-0.04679754164362234,-0.06822894043117153,-0.08650821226695123,-0.10284475752908774,-0.11903054030555103,-0.1388823064678961
69,-0.030549310576024093,-0.06271649716540069,-0.0908135453308605,-0.1146252490707943,-0.1358124697698726,-0.1567326516102666,-0.18230875919859446
70,-0.04082730782893186,-0.08284858614937009,-0.11918086433378777,-0.1497807768372328,-0.17689126467982555,-0.20357146959826006,-0.23608803768945755
71,-0.05377227740076746,-0.10792676585420855,-0.15428991146445728,-0.19310274249443116,-0.22734621210959174,-0.26093795572782497,-0.3017546682146243
72,-0.06982165350008251,-0.1387063455458355,-0.1971205691646453,-0.24573597262733549,-0.28845423821994565,-0.33022902329072623,-0.3808410230176449
73,-0.08941174836416035,-0.1759362394652979,-0.24863688883547205,-0.30879933389764797,-0.3614561826651196,-0.41279484134159256,-0.4748191609285562
74,-0.11295437731346797,-0.2203237021715614,-0.30974328915563015,-0.3833355289765536,-0.4475013803103854,-0.5098786361368165,-0.5850352189522675
75,-0.14080836126470625,-0.27249313262018865,-0.38123466450308424,-0.47025487886225326,-0.5475864032879793,-0.6225508927888833,-0.712638565420367
76,-0.1732462808341436,-0.3329399602772155,-0.46374189756182466,-0.5702749507981563,-0.6624901207919045,-0.7516403874446173,-0.8585084528053107
77,-0.21041718459309106,-0.40198103921637895,-0.5576747073809181,-0.68385833043349,-0.7927076662083656,-0.8976648993980929,-1.0231813054349768
78,-0.25230628219324036,-0.47970334461420844,-0.663164123181733,-0.8111511724326108,-0.938386208735028,-1.0607647282346144,-1.2067820102110716
79,-0.29869295870456125,-0.5659130620510482,-0.7800071258397885,-0.9519253669727098,-1.0992655825405742,-1.2406422482555273,-1.4089626246855613
