S,p03,p04,p05,p06,p07,p08,p09
107,9.375103557485165,9.80472751774375,9.89242932993406,9.88702290677157,9.849780561750343,9.799039120288455,9.734424954443988
108,9.570567102166194,9.897888168008961,9.926183303790026,9.881529728197336,9.81486093416084,9.738867302102605,9.647823005316525
109,9.73128957621583,9.953298833886848,9.922097081269676,9.838729229767473,9.743314529599978,9.642819937711877,9.52630686843925
110,9.856456422920878,9.971370101742316,9.881249166072692,9.760115912680334,9.636931868248766,9.512930031325695,9.37215287629023
111,9.94566736817859,9.952913215900416,9.805083095049127,9.647516573885184,9.497807158069804,9.351507367076906,9.187883321670753
112,9.998925298115857,9.899107414645947,9.695365117678989,9.503042895122604,9.328287776027011,9.161085801103752,8.976211951043922
113,10.016618410464417,9.811462666906579,9.554138954053215,9.329042325596504,9.130922982336642,8.94437060853015,8.73999038078388
114,9.999496495458615,9.691778991642863,9.383678876062618,9.128048492810237,8.90841307278123,8.704187043075962,8.482156536171459
115,9.948642281960574,9.542103520070455,9.186442274282669,8.902732263402768,8.663560039403606,8.443431116376132,8.20568604357419
116,9.865438820595429,9.364686406438949,8.965022772935427,8.65585444164374,8.399220646184702,8.165023436799146,7.913547321551917
117,9.75153389650707,9.161936615580402,8.722104825977794,8.390220943619298,8.118262680660848,7.871866777184877,7.608660945201962
118,9.608802431237962,8.936378501465114,8.460420597664609,8.108641137836159,7.8235249665681295,7.566807870968972,7.29386368403695
119,9.439307807692643,8.690610002544119,8.182709783453035,7.81388988674081,7.517781574870597,7.252603780978362,6.971877450405728
120,9.245262973482937,8.427263125057038,7.891682890059926,7.508673673743971,7.203710513730144,6.931893030062142,6.645283252577627
121,9.028992109954004,8.148967284942188,7.589988351561772,7.19560106288597,6.883867039579883,6.607171549610769,6.316500117904411
122,8.792893556464065,7.85831593783648,7.280183726559031,6.877157606570705,6.560661614916086,6.280773384634841,5.987768835158391
123,8.539404584295696,7.557836805407447,6.964711101691279,6.55568520397054,6.236342416912066,5.954855991934238,5.66114027817477
124,8.270968505392773,7.249965894011723,6.645876716309118,6.233365808405722,5.91298221687353,5.6313898801718665,5.3384679972268145
125,7.990004510949333,6.937025396975827,6.325834727203272,5.912209301932592,5.5924693808862,5.312152286442995,5.021404711023081
126,7.69888052028378,6.6212054709069434,6.006574954753319,5.594045282393267,5.276502672586503,4.998724520817177,4.711402292141287
127,7.399889228443257,6.304549795252967,5.689914380742067,5.280518463610662,4.966589498405227,4.692492590709918,4.409714819306743
128,7.095227463800313,5.988944763810622,5.377492122100591,4.973087336406223,4.664047228644108,4.394650688990254,4.117404258305868
129,6.786978867143745,5.676112088650598,5.0707675618077985,4.673025733552549,4.370007170049206,4.106207131684414,3.835348341016953
130,6.477099852641999,5.367604555548411,4.771021298157763,4.381426910580188,4.085420823258801,3.827992332254837,3.564250220957632
131,6.167408731556634,5.064804646046639,4.479358555684598,4.0992097665437655,3.811067999013318,3.5606684102162944,3.304649506503665
132,5.85957785098401,4.768925707914207,4.19671470339722,3.8271268302381145,3.5475664403605833,3.3047400660457527,3.056934302740899
133,5.5551285343824475,4.481015362660656,3.9238625199899957,3.5657736522942685,3.2953825825998706,3.060566364911921,2.8213539238564067
134,5.255428607799928,4.201960808067895,3.661420878238175,3.3155992686140223,3.0548431276322674,2.828373114969196,2.5980319683860387
135,4.961692249736416,3.9324957153219486,3.409864514569705,3.076917422433212,2.826147132513057,2.6082655557679857,2.386979495359043
136,4.6749818985070135,3.673208401941963,3.169534596985102,2.8499182625907338,2.6093783404235182,2.40024110405912,2.1881080652264018
137,4.396211964987629,3.424550997319642,2.940649806024709,2.634680266417888,2.404517534451145,2.204201943634132,2.001242458238295
138,4.126154050947406,3.1868493197073633,2.7233176983543217,2.4311821666422873,2.2114546976048644,2.019967279736079,1.8261329018542938
139,3.8654434467311205,2.9603132377609143,2.5175461291482293,2.2393146937105257,2.03000082519722,1.8472851056117179,1.6624666897158136
140,3.614586624820504,2.7450472744838805,2.3232545455265097,2.0588919726449717,1.8598992483020993,1.6858433684419083,1.5098790893830483
141,3.3739695117596114,2.5410612750853545,2.140285003040532,1.8896624509423532,1.7008363536419324,1.5352804433987899,1.3679634707486343
142,3.1438663151028834,2.3482809559460804,1.9684127685337671,1.731319247930685,1.5524516329890048,1.3951948533019731,1.236280615799501
143,2.924448701993043,2.166558209371061,1.8073564060827607,1.5835098568572903,1.4143469945437914,1.2651541944208589,1.1143671758517826
144,2.7157951542555736,1.9956810183430207,1.6567872692974106,1.4458451388676963,1.286095303569823,1.1447032469646956,1.0017432873610232
145,2.517900340155421,1.835382920738482,1.5163383430660815,1.317907581608324,1.1672481382163369,1.0333712676668938,0.8979193394154095
146,2.3306843699444357,1.6853519199955258,1.3856123907984852,1.1992588008169491,1.057342760084623,0.9306784787099787,0.8024019322405707
147,2.1540018121335436,1.5452388008796447,1.2641893984621788,1.0894462879562639,0.9559083022026016,0.836141774307464,0.7146990509099282
148,1.9876503834836967,1.4146648153001706,1.1516332927641315,0.9880094149750107,0.8624712230798082,0.7492796754959841,0.6343245017603749
149,1.8313792253010774,1.2932287171452117,1.0474979599450762,0.8944847196445949,0.7765600227926939,0.6696165792163811,0.5608016503444446
150,1.6848967134563964,1.1805131356723564,0.9513325638721426,0.8084104973704598,0.6977092941440333,0.5966863461281946,0.4936665295218745
151,1.5478777642385921,1.0760902930329053,0.8626862060268081,0.7293307501754498,0.6254631423274759,0.5300352700388089,0.43247034916760185
152,1.4199705830719722,0.9795270872103856,0.7811119490952478,0.6567985104766194,0.5593780076296184,0.4692244907289478,0.3767814829913618
153,1.300802868584583,0.8903895530210093,0.7061702456567787,0.5903786140137868,0.49902495607767605,0.41383189426369427,0.32618696643282874
154,1.189987447673957,0.8082467355663425,0.6374318143542723,0.5296499493567808,0.44399148894314067,0.36345355120204204,0.2802935801682338
155,1.087127346366401,0.7326740111679442,0.5744800057883026,0.47420723390700914,0.39388290584696506,0.317704761094717,0.23872855567930173
156,0.9918203159031691,0.663255886692582,0.5169127008741725,0.4236623730236033,0.3483232836032357,0.276220719364062,0.20113995276460628
157,0.9036628265945978,0.599588324767808,0.46434379072479715,0.3776454331116952,0.30695611282993696,0.2386568869994221,0.16719675819842905
158,0.8222535515045593,0.5412806230609135,0.41640427589584306,0.3358052942203926,0.2694446344619905,0.20468908783044526,0.13658875190003528
159,0.7471963748528765,0.4879568951920987,0.3727430356903483,0.2978100033246278,0.23547192324002708,0.17401337338185385,0.10902616988772706
160,0.6781029448177378,0.4392572093081526,0.33302729878670334,0.26334687888152075,0.2047407498650955,0.14634570067784125,0.08423920242250915
161,0.6145948138680524,0.3948383772112152,0.2969428618015968,0.2321224062740157,0.17697326470056396,0.1214214553968418,0.0619773690857528
162,0.5563051892920612,0.35437449152908584,0.2641940859149372,0.20386195181743005,0.15191052497698365,0.09899484020081672,0.04200878287008436
163,0.502880330728317,0.3175572012992234,0.23450371170241624,0.17830932705464875,0.129311904508711,0.07883817470855092,0.024119342292294732
164,0.4539806451830941,0.2840957738214911,0.20761251274592496,0.155226235989403,0.10895441736380462,0.060741111091999755,0.00811186815496967
165,0.40928147907237644,0.2537169813621176,0.18327882958857344,0.13439162831474505,0.09063195037128935,0.044509804126846575,-0.006194799446745947
166,0.3684736676845546,0.2261648280210693,0.16127799515430752,0.11560097700424876,0.07415446290792715,0.02996603971183731,-0.018966718577928532
167,0.33126386082216186,0.20120016326785617,0.1414016825407316,0.09866551060611073,0.05934714074840031,0.016946344629786836,-0.030355770732626297
168,0.2973746570589242,0.17860017450743726,0.12345719746065242,0.08341140119938473,0.04604954330744704,0.005301098155996442,-0.04050058151960911
169,0.2665445640914754,0.15815780688654968,0.10726672030614282,0.06967894019993537,0.034114729636769425,-0.0051063640427173596,-0.049527418433115145
170,0.2385278217431619,0.1396811274290144,0.09266652764239325,0.05732170016869986,0.02340839927228444,-0.014400617764920298,-0.0575510802391932
171,0.21309410758618696,0.12299263495663126,0.0795061974656619,0.04620570738467222,0.013808048606733792,-0.02269500871676655,-0.06467573506085955
172,0.1900281429811912,0.10792853622376697,0.06764780923873559,0.0362086170468956,0.005202142645543972,-0.030092469991416237,-0.07099574318658597
173,0.16912921573464246,0.09433801213987181,0.05696515462005891,0.027218912244109106,-0.002510685170875604,-0.036686319333512074,-0.07659643287638573
174,0.15021065038922643,0.08208247152197146,0.04734296030761698,0.019135130173708603,-0.00942239360313124,-0.04256101313160343,-0.08155483946836739
175,0.13309921136794856,0.0710348088617252,0.03867612630159556,0.011865112696796132,-0.015616280037988872,-0.047792861010975685,-0.08594039734077796
176,0.11763449812463023,0.061078670192671325,0.030868995146704492,0.005325287872892659,-0.021167664030485867,-0.05245070582304834,-0.08981559830090191
177,0.1036682957078483,0.052107727093186895,0.023834650519916067,-0.000560003527994013,-0.026144554041707124,-0.056596560398247675,-0.09323660037807713
178,0.0910639316842321,0.044024995986546855,0.017494242214866063,-0.005859156644305585,-0.030608255414676933,-0.060286202199222316,-0.09625380030797714
179,0.07969560453346958,0.036742144686741085,0.011776346795500103,-0.010633910036972338,-0.0346139699303194,-0.06356973138110789,-0.09891235833947576
180,0.06944773971895302,0.030178864349750256,0.006616364913725192,-0.014939912418299173,-0.03821131429049274,-0.066492087640313,-0.10125269405136805
181,0.060214348032161524,0.02426223616680545,0.0019559511343913982,-0.018827256198505893,-0.041444840732651755,-0.06909352670447788,-0.1033109310810687
182,0.05189838947927683,0.018926168081634387,-0.002257516129589021,-0.02234097152609138,-0.04435449660888935,-0.07141006484800982,-0.10511932359236198
183,0.044411159549895274,0.0141108255746758,-0.006071439742072471,-0.025521489916968676,-0.04697605554326856,-0.0734738855356909,-0.10670662412337606
