S,p02,p03,p04,p05,p06,p07,p08,p09
213,0.02603388686850394,0.035738568087140266,0.030234405485884963,0.00562633104550514,-0.03598888362432717,-0.09462016791417227,-0.16713922967426242,-0.22592897707340853
214,0.024496767139225994,0.03488751659119771,0.02914209524362832,0.004395852428729086,-0.03716006965248653,-0.09560747372461265,-0.16802706959140323,-0.22686822298112475
215,0.023101799655478317,0.034062645255517054,0.028059748728992417,0.0031700698599479438,-0.038327661542325586,-0.09658892544450737,-0.16890417235515542,-0.22779618532808854
216,0.021834674157616973,0.03326085234789389,0.026985897321196717,0.00194810283460356,-0.03949228265298643,-0.09756506493374673,-0.1697710822412546,-0.2287133239775585
217,0.020682449672904113,0.0324793789729938,0.025919257211626245,0.0007291954062793593,-0.04065446560730379,-0.09853636775858376,-0.17062827481595377,-0.22962005090221282
218,0.01963343677857665,0.0317157721951844,0.02485869416091191,-0.0004873172088082356,-0.041814670055373426,-0.09950324781016207,-0.1714761767601658,-0.23051673700535957
219,0.018677077164852562,0.030967848090313055,0.023803208435424494,-0.0017020024500880027,-0.042973293332693174,-0.10046605723346147,-0.17231517432492183,-0.23140370878138583
220,0.017803849274855565,0.030233676753255168,0.022751926493924657,-0.0029153608238630113,-0.044130665486363796,-0.10142510468824639,-0.17314559713099698,-0.232281259044953
221,0.01700516477853853,0.029511530996728652,0.021704080879203502,-0.00412780757130804,-0.04528706924133985,-0.10238066714407523,-0.17396775334077574,-0.23314966895782163
222,0.016273284302315005,0.028799887772379407,0.020658994301925304,-0.005339716935282013,-0.04644275087173355,-0.10333297211673198,-0.17478191509212593,-0.23400916489890733
223,0.01560124140098651,0.028097383264480413,0.019616076940565108,-0.006551395657083958,-0.04759790925845664,-0.10428221273173222,-0.17558832709596572,-0.2348599821289099
224,0.014982761626924912,0.027402817792676615,0.01857480775413478,-0.007763111682379531,-0.04875271478965715,-0.10522857053274493,-0.17638721111268296,-0.2357023144128334
225,0.014412207605118965,0.02671511779794855,0.017534731924229163,-0.008975095155960844,-0.04990731156340189,-0.1061722092998707,-0.17717877561551632,-0.2365363328493686
226,0.013884505705163974,0.02603332909245637,0.01649545616544401,-0.010187533874272958,-0.051061811632280296,-0.10711323326972888,-0.17796319390583903,-0.23736223056403105
227,0.01339510120601517,0.02535661515423726,0.015456628048582388,-0.011400592043742108,-0.0522163130511899,-0.10805176913208925,-0.17874063502176796,-0.23818014909693375
228,0.012939901026243206,0.024684215844672508,0.014417944811384587,-0.012614403814836805,-0.053370889432358126,-0.10898792055513695,-0.17951126302762077,-0.2389902250143905
229,0.012515233649423863,0.02401547249064606,0.013379141563518715,-0.013829090121930676,-0.054525603161437175,-0.10992175468516052,-0.18027520304997324,-0.23979260681983305
230,0.012117804359945694,0.02334978880469407,0.012339985531184539,-0.015044733459035342,-0.05568049999737923,-0.11085335700045107,-0.18103259741053535,-0.24058741033172737
231,0.011744656234213835,0.022686634224555746,0.01130027570184211,-0.01626141063582054,-0.056835613051475775,-0.11178278860768387,-0.18178356903320037,-0.24137474945007398
232,0.011393139018878173,0.022025546613235747,0.010259837424086982,-0.017479191001257277,-0.05799096847169949,-0.11271009256574871,-0.1825282206624479,-0.24215474198285847
233,0.011060882840752129,0.021366106111031513,0.009218516794362586,-0.01869810638766012,-0.05914657862149397,-0.11363532649966146,-0.18326666470613873,-0.24292748257437324
234,0.010745757919039534,0.020707941317255063,0.00817618442283674,-0.01991820361979535,-0.06030245067734086,-0.11455851677055762,-0.18399899325061142,-0.24369308398775047
235,0.01044586056764274,0.020050721190045806,0.007132713335522567,-0.02113950792193009,-0.06145860218964572,-0.11547970835579235,-0.18472531635893574,-0.2444516226773885
236,0.01015948562610447,0.019394145382989336,0.006088023596362291,-0.022362030733802385,-0.06261500473669912,-0.11639892655068707,-0.18544570451695108,-0.24520319442444816
237,0.009885108909202245,0.018737957390158044,0.005042017079404104,-0.023585797492842175,-0.06377166826609937,-0.11731619778743152,-0.18616025066364728,-0.24594788385456923
238,0.009621361982681265,0.018081922803503403,0.003994623867242808,-0.024810802514707575,-0.06492857387740969,-0.11823153990064839,-0.18686903331399662,-0.24668577047748386
239,0.00936702981846338,0.017425828247041864,0.0029457807926291935,-0.02603703720183148,-0.06608570686239545,-0.11914497399345692,-0.18757212707498638,-0.24741693181340452
240,0.009121008943679954,0.016769491750778798,0.001895432433229871,-0.02726450901491262,-0.06724305173122502,-0.12005652109792209,-0.18826960904050338,-0.24814144197193855
241,0.008882332451776165,0.016112729497308464,0.0008435341669610352,-0.02849320189568516,-0.06840058574653085,-0.12096618114298963,-0.18896154827530154,-0.2488593823102292
242,0.008650122182984887,0.015455404351882862,-0.00020994924909700785,-0.029723108809776022,-0.06955828958155053,-0.12187397651075571,-0.1896480121388322,-0.24957081208754062
243,0.00842359682451388,0.014797379321862536,-0.0012650561842519892,-0.03095420943566296,-0.07071613971731949,-0.12277991416453915,-0.1903290683458181,-0.25027580164760366
244,0.008202057770745341,0.014138528285911889,-0.0023218071731889722,-0.03218649773373272,-0.07187411242171038,-0.12368400433615534,-0.19100477729239174,-0.2509744190604124
245,0.007984878394040607,0.01347874452051201,-0.003380226871740888,-0.033419938887391254,-0.07303218040988213,-0.12458625363365172,-0.1916752044905934,-0.2516667281327045
246,0.0077715039026315935,0.012817932528719211,-0.004440334180344507,-0.034654510017162465,-0.07419032002076165,-0.1254866744204719,-0.19234040934179575,-0.25235278414470486
247,0.007561433150726771,0.012155993118767583,-0.005502140751900697,-0.035890203946564725,-0.07534850354318223,-0.1263852628596851,-0.1930004484052006,-0.2530326594296639
248,0.007354215796340213,0.011492854241623718,-0.006565657884038956,-0.037126989127500565,-0.07650670667658233,-0.12728202506195885,-0.19365538008742078,-0.25370641054678345
249,0.00714945720403648,0.010828433403275994,-0.007630888916310141,-0.03836484296471099,-0.07766489730443027,-0.1281769660010923,-0.19430525384223074,-0.25437409718165327
