S,p07,p08,p09
142,13.267130116845749,13.169825604036944,12.958468724701078
143,13.545050114193558,13.456649066077375,13.253399952741773
144,13.81153474520147,13.732428608654956,13.537746030818099
145,14.067357051269624,13.997922162316812,13.81224978087694
146,14.313269893527902,14.253867225127337,14.07763318062294
147,14.550001761570286,14.500976811893906,14.334593465914836
148,14.77825345641186,14.73993626260146,14.583800077253883
149,14.99869556140716,14.97140082392363,14.825892364365956
150,15.211966615814276,15.195993919025952,15.061477964080794
151,15.418671908233605,15.414306023331648,15.291131769923538
152,15.619382810776372,15.626894067871433,15.515395415726374
153,15.814636579069585,15.834281296228525,15.734777199845595
154,16.00493654846744,16.03695750632106,15.949752382197602
155,16.190752661875152,16.23537961332886,16.160763791740607
156,16.37252227059065,16.42997247629232,16.368222687172818
157,16.550651154696894,16.6211299358185,16.572509820048964
158,16.72551471571815,16.809216016596906,16.773976654347322
159,16.897459299094564,16.994566253195487,16.972946702323455
160,17.066803609555592,17.17748910307435,17.16971694151823
161,17.233840187301297,17.35826741576183,17.364559282153635
162,17.39883691728359,17.537159930885693,17.55772205928743
163,17.56203854829934,17.714402782885585,17.749431527618853
164,17.72366820238034,17.89021099324195,17.939893340609103
165,17.883928858163856,18.064779934726616,18.129293999270857
166,18.04300479560723,18.238286755332922,18.317802258520288
167,18.201062991505168,18.41089175188486,18.505570482012246
168,18.358254458098955,18.58273968626598,18.692735938133964
169,18.5147155191558,18.75396103850875,18.879422032491888
170,18.670569019464267,18.924673193410513,19.065739473585097
171,18.8259254654497,19.09498155840126,19.251787369577755
172,18.98088409592944,19.264980611996663,19.43765425574071
173,19.13553388287852,19.434754882862393,19.6234190530177
174,19.28995446324535,19.604379860540178,19.80915195872157
175,19.444217003376707,19.773922839686264,19.994915271335856
176,19.598384998238316,19.943443699959573,20.180764151712793
177,19.752515008015337,20.112995624282348,20.36674732335726
178,19.906657335029365,20.28262575821813,20.552907715016033
179,20.06085664407351,20.45237581405175,20.739283048300905
180,20.21515252949655,20.622282622273502,20.925906374102254
181,20.369580032132717,20.79237863425547,21.11280656067791
182,20.524170109730022,20.962692378954273,21.300008737109977
183,20.678950063803114,21.133248877436728,21.487534695030064
184,20.833943926462695,21.304070017836807,21.675403251864367
185,20.98917280994499,21.475174894364102,21.863630578638293
186,21.144655222157382,21.646580112527403,22.052230495460634
187,21.30040735078893,21.81830006437977,22.241214736779114
188,21.45644331890395,21.990347175434266,22.430593189921666
189,21.61277541429598,22.162732126303553,22.62037410844968
190,21.769414295143008,22.335464051245424,22.810564303205894
191,21.92636917404016,22.50855071565354,23.001169312975378
192,22.083647982496757,22.681998674513437,23.19219355665254
193,22.241257517751478,22.855813413850257,23.383640468657063
194,22.39920357370977,23.029999476632668,23.57551261956914
195,22.55749105745437,23.204560574711763,23.767811823081786
196,22.71612409287016,23.379499688286387,23.960539230983358
197,22.875106112716992,23.55481915428257,24.153695417277277
198,23.03443994037835,23.730520744641126,24.34728045252399
199,23.19412786220383,23.906605735452757,24.54129396964433
200,23.354171691720893,24.08307496837736,24.735735221968724
201,23.5145728263781,24.25992890477744,24.930603134466622
202,23.675332297652574,24.437167673560367,25.125896348648524
203,23.83645081554633,24.614791113314993,25.321613262348563
204,23.997928807535374,24.792798809588845,25.51775206447502
205,24.15976645322857,24.971190127418197,25.714310765707893
206,24.321963714677963,25.149964240409872,25.911287225175528
207,24.484520363274243,25.329120155837614,26.108679173914595
208,24.64743600332895,25.50865673702276,26.306484235525573
209,24.81071009283582,25.688572722740588,26.504699944078425
210,24.974341961754476,25.868866744546892,26.70332375973956
211,25.138330828086453,26.04953734165889,26.90235308245974
212,25.302675811960285,26.230582974183392,27.10178526384368
213,25.467375948168325,26.412002034728488,27.301617617457907
214,25.632430196908018,26.593792858302834,27.501847427963355
215,25.797837453512074,26.775953731348068,27.702471958765074
216,25.963596556761814,26.958482899482306,27.903488458660775
217,26.129706296384114,27.141378574088293,28.104894168062344
218,26.296165419466888,27.3246389382912,28.306686323594477
219,26.462972636185356,27.508262152205987,28.50886216258388
220,26.63012662487816,27.69224635735199,28.711418926918952
221,26.79762603638025,27.87658968060782,28.91435386610013
222,26.965469497945804,28.061290237744174,29.11766423986961
223,27.13365561665384,28.24634613612176,29.32134732090077
224,27.302182982428036,28.431755477654974,29.525400396321544
225,27.471050170642997,28.617516360858986,29.72982076976365
226,27.640255744495335,28.80362688290532,29.934605762549182
227,27.809798257074902,28.9900851414842,30.1397527148886
228,27.979676253109176,29.17688923585402,30.34525898702327
229,28.14988827066429,29.364037268877752,30.5511219596724
230,28.320432842538423,29.551527347378226,30.75733903520046
231,28.491308497459755,29.739357583724058,30.963907637671895
232,28.6625137612333,29.927526096404478,31.170825213381903
233,28.83404715790121,30.116031010817323,31.378089231489525
234,29.005907210301274,30.30487045996111,31.585697183751904
235,29.178092441110692,30.49404258499422,31.793646585074242
236,29.350601373496943,30.683545535593026,32.00193497342241
237,29.523432531678395,30.873377470690855,32.21055990985633
238,29.69658444156522,31.06353655838774,32.41951897860105
239,29.870055631161563,31.25402097657144,32.62880978713696
240,30.04384463116594,31.44482891330398,32.838429965771354
241,30.217949975252623,31.63595856658219,33.04837716796669
242,30.392370200429752,31.82740814483367,33.2586490697409
243,30.567103847535293,32.01917586729337,33.469243370110746
244,30.742149461366353,32.2112599638217,33.680157790261944
245,30.91750559101314,32.40365867480506,33.89139007407209
246,31.093170790092017,32.596370251891926,34.10293798734756
247,31.269143617002726,32.789392957617736,34.31479931793149
248,31.445422635073328,32.98272506549296,34.526971875405366
249,31.62200641282027,33.176364860251795,34.73945349095118
