S,p07,p08,p09
180,-0.11995562211097877,-0.13368844598460328,-0.15543388421690452
181,-0.1224635895624715,-0.1359207703899301,-0.15718881911652716
182,-0.12478050926745254,-0.13797005173898924,-0.1587709899553147
183,-0.12692798357250012,-0.1398572147337518,-0.16020062894028797
184,-0.12892517680995752,-0.14160080887393178,-0.16149565389866893
185,-0.13078907223018632,-0.14321726247601418,-0.16267191796259795
186,-0.13253471102814274,-0.14472110969165897,-0.16374343253744428
187,-0.13417539690863123,-0.14612519954937397,-0.16472256973543153
188,-0.1357228921250453,-0.1474408842483399,-0.16562024690358612
189,-0.13718758907543815,-0.14867818485697626,-0.1664460907591092
190,-0.13857865738486908,-0.14984593583733385,-0.1672085762294273
191,-0.13990419212461802,-0.1509519317721697,-0.1679151677791424
192,-0.14117132714375202,-0.15200303465690013,-0.16857242925993887
193,-0.14238635138497102,-0.1530052854548103,-0.1691861305630482
194,-0.14355480388417163,-0.15396400520728548,-0.1697613426188127
195,-0.14468156258828913,-0.1548838697829069,-0.1703025150590065
196,-0.14577092080969578,-0.15576899556890567,-0.1708135555844592
197,-0.1468266555093578,-0.15662299695407,-0.17129788858483153
198,-0.14785209359047258,-0.15744905354608818,-0.17175852129014402
199,-0.1488501628443828,-0.15824995927005148,-0.17219808334800746
200,-0.14982342960934147,-0.1590281683405692,-0.1726188836670417
201,-0.15077416577469194,-0.15978583384423928,-0.17302294239129878
202,-0.15170436078904004,-0.1605248579039653,-0.17341203552234674
203,-0.15261577459568798,-0.16124690496610583,-0.17378770415632516
204,-0.15350994686968988,-0.16195343782499094,-0.17415131537745765
205,-0.15438824519264926,-0.16264574909996554,-0.17450405159991078
206,-0.15525186924492118,-0.16332497125404188,-0.174846962224251
207,-0.15610187794834474,-0.16399210686302013,-0.17518095496882324
208,-0.15693921163517643,-0.16464803707094688,-0.17550683153899627
209,-0.15776469624029232,-0.16529354041949773,-0.1758252958694584
210,-0.15857906518590426,-0.16592930457193233,-0.17613696648766108
211,-0.15938297863726802,-0.1665559361185842,-0.17644238091918396
212,-0.16017700879444874,-0.16717397997467742,-0.17674201700401682
213,-0.1609616711562012,-0.16778391135119364,-0.17703629097809426
214,-0.16173742814373782,-0.16838615778169697,-0.17732558156069445
215,-0.16250468917178296,-0.1689811008276365,-0.1776102022432724
216,-0.1632638264226216,-0.16956907529674936,-0.1778904496774203
217,-0.1640151651827182,-0.17015039780687857,-0.17816657774005762
218,-0.164759019014582,-0.17072533026407655,-0.17843880897316922
219,-0.16549564229251246,-0.1712941240583632,-0.17870735419478478
220,-0.16622529223297988,-0.171857001376452,-0.17897238492992074
221,-0.16694817944085116,-0.1724141655756739,-0.17923406389286356
222,-0.16766452269223464,-0.17296580224979152,-0.179492537242254
223,-0.16837449543061211,-0.1735120803658674,-0.17974793109942766
224,-0.16907827770751283,-0.17405314373775127,-0.18000036590137825
225,-0.1697760377794566,-0.1745891486137907,-0.180249946382105
226,-0.17046790063091066,-0.1751202144362196,-0.18049676796749736
227,-0.17115401746536918,-0.17564647642132059,-0.18074092039910283
228,-0.17183452023061818,-0.17616804001363562,-0.18098248219189372
229,-0.17250951941605308,-0.1766850073892101,-0.18122152773969447
230,-0.17317913162173681,-0.17719748157674076,-0.18145812539671624
231,-0.1738434681186618,-0.17770555956531098,-0.18169233868547963
232,-0.17450261999840677,-0.1782093190172418,-0.18192422366780647
233,-0.1751566929897308,-0.1787088530136316,-0.18215383818187547
234,-0.1758057602074814,-0.17920423509565353,-0.18238123104197257
235,-0.17644992730936337,-0.17969554399144272,-0.18260645866519098
236,-0.17708926918658108,-0.18018285118159838,-0.18282955061010853
237,-0.17772386684100638,-0.18066622644141717,-0.18305055888845345
238,-0.1783537936717039,-0.18114572554850383,-0.1832695282644181
239,-0.1789791279804831,-0.18162142040978324,-0.1834864902150457
240,-0.1795999396847492,-0.1820933806584435,-0.183701486236032
241,-0.18021628875430906,-0.18256165674301883,-0.18391454986499411
242,-0.18082825093301835,-0.18302629186450758,-0.1841257159185261
243,-0.18143589159080875,-0.18348736787743292,-0.18433501480785708
244,-0.18203926671844783,-0.18394491988260597,-0.18454247737054175
245,-0.18263843713839378,-0.1843990052918798,-0.1847481391337169
246,-0.18323347163118342,-0.18484967370113736,-0.18495202482426976
247,-0.18382441595576893,-0.1852969771221069,-0.18515416357445247
248,-0.1844113276661119,-0.18574095932422097,-0.18535458281121464
249,-0.184994261474003,-0.18618167004547104,-0.18555330598246655
