S,p03,p04,p05,p06,p07,p08,p09
90,0.12579943198254284,0.14736795672654068,0.16101807664981038,0.17097411264543894,0.17921858441738436,0.1870812504911612,0.1963874396437859
91,0.14132298664648602,0.16462534668804096,0.17928631912411674,0.1899411850025956,0.19874311085743557,0.2071239957324167,0.21702647456933732
92,0.15788095275581782,0.18290485792604727,0.19855787014577686,0.2098926921156874,0.21923444171179085,0.22811460498317615,0.2385898700829614
93,0.17543705377320862,0.20215404905599144,0.2187698799893667,0.23075811261819013,0.24061539427577827,0.24997126590875496,0.2609903182460016
94,0.19394393868665816,0.22230810525769584,0.23984813024569007,0.2524563447181549,0.2627996931181542,0.27260269597206843,0.28413031927243537
95,0.21334531918881794,0.24329511738585552,0.26170956513027477,0.27489930332080803,0.2856946457185927,0.2959108735822724,0.307907455088241
96,0.23357136225143904,0.265029131973904,0.28426099252243375,0.2979869018204795,0.3091949807298988,0.31978641956698084,0.3322069730415933
97,0.2545483379634561,0.2874232185590131,0.30740741063794985,0.3216181543308494,0.33319573766732447,0.34412230842661984,0.35691911648427777
98,0.2761924688954309,0.3103795220837924,0.3310432150627207,0.3456851471739242,0.3575860274551701,0.3688033656246148,0.38192466966791017
99,0.2984137381645269,0.33379676800393554,0.3550649108063908,0.3700772799319907,0.38225222986909557,0.39371335081028747,0.4071057713161963
100,0.32111771020026936,0.3575718166004549,0.37935974361857916,0.39468284196431114,0.40708187931670636,0.4187398428001643,0.4323480240486788
101,0.34420937211621094,0.3816020610614146,0.40382213128964395,0.41939478556685117,0.4319649971051831,0.4437718192917828,0.4575398282469223
102,0.3675877602304922,0.40577807780550756,0.42834544800030017,0.4441022660728322,0.456791360292641,0.4686956156518818,0.482568207615941
103,0.3911489354635478,0.42999528382381413,0.4528216024368703,0.46869601533217065,0.48145119002640513,0.4934067820983046,0.5073280018308424
104,0.4147957977096439,0.4541505838062676,0.47714694417777537,0.4930782449008575,0.5058484742193059,0.5178033113395486,0.5317194240461731
105,0.4384294705062075,0.4781500528849847,0.501227681581895,0.5171518324686986,0.5298866234682009,0.5417991832956659,0.5556580529031407
106,0.4619564730745651,0.5018984783333735,0.5249707335508447,0.5408314684984816,0.5534824154551643,0.565307090028,0.5790596890875577
107,0.4852848345393568,0.5253069534916222,0.5482945653056959,0.5640322875422044,0.5765544486280305,0.5882470066609358,0.6018468390323051
108,0.5083246268355879,0.5482919007704368,0.5711174200229152,0.5866772845308788,0.5990261620070214,0.6105492111885269,0.6239525340845375
109,0.5309985340318235,0.5707826211676092,0.593370330648213,0.608703754068074,0.6208395575413306,0.6321581480506211,0.6453253931226755
110,0.5532321711854138,0.5927107693537437,0.6149934783650224,0.6300546750992453,0.6419409892544081,0.6530198604082216,0.6659148787946378
111,0.5749590581416442,0.6140149722000388,0.6359349491447119,0.6506789773652599,0.6622833836900099,0.6730917156971827,0.6856807566180123
112,0.5961143578758765,0.6346457581685172,0.6561390542003664,0.6705346500268661,0.6818298814437185,0.6923408513159757,0.7045992234111509
113,0.6166492205750274,0.6545597841522977,0.675581990350338,0.689594337188737,0.7005514390812095,0.710741865361797,0.7226431897322527
114,0.6365127092067269,0.6737177926652294,0.6942283192756804,0.7078231334389784,0.7184215000677341,0.7282754843629391,0.7398011092618617
115,0.6556709841731845,0.6920974016111359,0.7120522838022225,0.7252113576328156,0.7354341136078801,0.7449344252563606,0.756066675933198
116,0.6740911828728713,0.7096740084477915,0.7290440251495056,0.7417495062611579,0.7515799538282408,0.7607147800570147,0.7714403338354714
117,0.6917523442950824,0.726436333309266,0.745196615525856,0.7574333160675906,0.7668628398960209,0.7756210784748419,0.785930609481511
118,0.7086354614216361,0.7423750503221527,0.760512453013007,0.7722671391263702,0.7812880120638965,0.7896583831268345,0.7995478945588275
119,0.7247204614202474,0.7574897153972415,0.7749807018342381,0.786247600359502,0.7948549374248159,0.8028424147710211,0.8123077321897654
120,0.7400171142535328,0.7717769534565377,0.7886281849778243,0.7994039208369941,0.8075929258666292,0.8151875618978011,0.8242265536750892
121,0.7545168934086632,0.7852626104920546,0.8014545471723977,0.8117440941646237,0.8195188527793107,0.8267292628261202,0.8353449487685793
122,0.7682279701271,0.797944110786375,0.8134961149153241,0.8232927228846165,0.8306551890768787,0.8374787086040669,0.8456760625108473
123,0.7811564728399389,0.8098490766883515,0.8247535987493393,0.8340709456433615,0.8410246721268777,0.8474700052829576,0.8552595076594116
124,0.7933257606396182,0.8209994462049508,0.8352653679821742,0.8441091381428123,0.8506670923225101,0.8567409892634714,0.8641281468158013
125,0.8047436494962312,0.8314025023992144,0.845052028353166,0.8534376760849227,0.8596025224960613,0.8653037397721164,0.8722965461060994
126,0.8154408703830995,0.8411074503555938,0.8541549689766725,0.862088356257118,0.8678718188548373,0.8732165213132248,0.8798282991051565
127,0.8254335881474617,0.8501391590698404,0.8625868019862537,0.8700860476551497,0.8755003833016417,0.8805063345107556,0.8867470313589365
128,0.8347516455842197,0.8585089972257265,0.8703997522729878,0.8774735604788475,0.8825297825865164,0.8871909429331026,0.8930765460490875
129,0.8434158260683944,0.8662620842869728,0.8776048332492792,0.8842743426384914,0.8889866620620523,0.8933229267427123,0.8988603639181747
130,0.8514627225508775,0.8734332368476316,0.8842464538361128,0.8905281845272839,0.8949122332069237,0.8989397670688959,0.9041475124149656
131,0.8589143618564776,0.8800368433981021,0.8903514370217636,0.8962667052969664,0.900328522845939,0.904051589145638,0.908941544253139
132,0.8658016525942003,0.8861269051863019,0.8959544217645998,0.9015135304935029,0.9052746108295651,0.9087186114697943,0.9133049871934418
