S,p03,p04,p05,p06,p07,p08,p09
65,0.007744023316482925,0.010885575098241137,0.013228874117931359,0.015121021488292799,0.016801661279516704,0.018495734128987085,0.020623164581818655
66,0.011207071939879023,0.015610619283150903,0.01887028684170386,0.021489911435816977,0.023808853185248304,0.02613976373853563,0.02905822571162321
67,0.01597627855224725,0.02205555022507469,0.026521905547227314,0.03009452208377512,0.03324656209242188,0.036406131052749494,0.04035055190380367
68,0.022448280730179116,0.030719144152513072,0.036750653430346614,0.04155300935598967,0.045776163581316,0.04999793750794581,0.05525325249920026
69,0.031107659173362428,0.04220316869646065,0.05023540833124645,0.05660170695363439,0.06218215339243507,0.06774593458254083,0.0746521985473328
70,0.04253718612632142,0.05722222147881358,0.06777624313404271,0.07610377144974881,0.08338020890154285,0.09061596189813974,0.0995726370385877
71,0.05742700198811678,0.07661177443630054,0.09030138459643204,0.10105518037026305,0.11042229802714353,0.11971314162369238,0.13118221874851288
72,0.07658212174419324,0.10133375350131894,0.11887119099676656,0.1325873717705761,0.144498119591073,0.1562821139309417,0.1707897302895278
73,0.10092766038923005,0.13247900519739592,0.15467849854289284,0.17196588349178973,0.18693224686748552,0.20170270200597915,0.21983894599002238
74,0.1315111868235158,0.17126606550767196,0.19904477896910686,0.22058446563985587,0.23917647886638468,0.257480546422828,0.2798971865031197
75,0.16950167288400098,0.21903574950084267,0.25341168422843285,0.2799542951219952,0.3027970790978052,0.3252324403367479,0.3526383826668588
76,0.21618459524613828,0.2772412196049706,0.3193277234782299,0.3516881116973069,0.37945678689407786,0.40666631799732283,0.43982068080664066
77,0.2729528725771424,0.34743336038006717,0.3984300149209585,0.4374793091586892,0.47089171573561067,0.5035560894470215,0.5432588783882419
78,0.3412934725596783,0.43124148021225767,0.4924212675505579,0.5390762433610252,0.5788834901224171,0.6177117595498882,0.6647922323826938
79,0.42276969312790563,0.5303495639152889,0.6030423683633934,0.6582522445258698,0.7052272023133631,0.7509455036289191,0.8062484181572959
80,0.5189993073820287,0.6464685053442221,0.7320411600578168,0.7967720358048601,0.8516959874971252,0.9050345857908314,0.9694046265065758
81,0.6316289436966716,0.7813049407473515,0.881138190021724,0.9563554492025838,1.0200031945822863,1.0816821777503982,1.1559469488414686
82,0.7623052486083192,0.9365274793698973,1.0519903683781084,1.1386394771828456,1.211763272565558,1.2824772715275268,1.3674293201593188
83,0.9126435380868435,1.1137312621506412,1.2461536014057861,1.345139811612106,1.428452585472417,1.5088549486425016,1.6052333404986683
84,1.084194770975544,1.31440188865517,1.4650455361253643,1.5772130691454886,1.6713714019317425,1.7620582958732809,1.8705302996413484
85,1.278411778310451,1.539879799436483,1.7099095861589084,1.8360209142254111,1.9416082946088762,2.043103211141206,2.164246659525082
86,1.4966157345169815,1.7913262211677325,1.9817813775246937,2.122497229656295,2.24000810258862,2.3527472582662856,2.487034140691291
87,1.73996388104225,2.0696917369777967,2.281458685848836,2.437319398240767,2.567144501536278,2.691463581827591,2.8392453863823603
88,2.0094194785824637,2.375688467154413,2.609475815434914,2.7808846040922037,2.923298051532574,3.059420717616001,3.220915982038441
89,2.3057249071423147,2.7097667238240586,2.9660832204347893,3.1532918945975648,3.30844040729028,3.456468916063215,3.6317533728458247
90,2.629378722635023,3.07209684894949,3.351232979420526,3.5543305329177595,3.7222251430435445,3.882133370713969,4.0711329819420605
91,2.9806173627189287,3.4625567683965737,3.7645705396882607,3.9834749630984763,4.163985441674178,4.335614502670726,4.538101579221188
92,3.3594020148797195,3.8807255997808094,4.205432926429609,4.439886471863108,4.6327386266087345,4.815795213508611,5.031387716336599
93,3.7654110194296204,4.325883452716006,4.672853410137012,4.922421431008406,5.1271973438238305,5.321254805445985,5.549418815165018
94,4.198037970615243,4.7970173619571455,5.16557241005966,5.429645784960079,5.6457869506809635,5.850289056463786,6.090344309384043
95,4.65639552231778,5.292833105141614,5.682054243294487,5.959855277692937,6.186668526253491,6.400935776218474,6.6520640647382825
96,5.139324724290351,5.811772496566724,6.22050914043104,6.51110075229333,6.747766761372453,6.971005035572019,7.232261202694267
97,5.645409556143121,6.35203557504127,6.778919857497455,7.081217746907064,7.326801870610743,7.558113135797128,7.828438318502328
98,6.172996186482037,6.91160703236715,7.355072059356259,7.66785949994908,7.921324598281209,8.15971937273563,8.437956111539968
99,6.72021637242448,7.488286085033379,7.94658763014766,8.268532456012778,8.528753353820306,8.77316457050803,9.058073357515184
100,7.285014335822736,8.079718983511341,8.550959999431562,8.880633328556264,9.14641252638404,9.395710417070546,9.685987245422467
101,7.865176350252411,8.683433284417674,9.165590597559614,9.5014867897536,9.771571002792356,10.024578637102266,10.318873115133798
102,8.458362303831457,9.29687305148974,9.78782554241775,10.128382912810707,10.401480055621803,10.656989147417306,10.953922741974152
103,9.062138420690147,9.917434156836435,10.414991753338043,10.758613543426776,11.033409758898214,11.290196403068718,11.588380409799369
104,9.674010409632672,10.542498910615095,11.044431730189428,11.389506887926613,11.664683261836116,11.921523247648834,12.219576134997466
105,10.291456286459777,11.16946931287721,11.673536346856748,12.018459670404267,12.292708291372632,12.548391727662532,12.844955498625408
106,10.91195823410551,11.795798333658068,12.29977509886737,12.642966387099717,12.91500546618529,13.168350414005657,13.46210574304507
107,11.533032870358893,12.419018703235805,12.920723324993942,13.260645194490548,13.529233007369966,13.779097969068841,14.068777867848324
108,12.152259432518518,13.036768765628535,13.534086129673993,13.869260221044398,14.133207650868227,14.378502692480309,14.662904547435572
109,12.767305458627474,13.646815137491329,14.13771871048297,14.466740092089479,14.724921644138076,14.964618054591481,15.242613910082524
