S,p03,p04,p05,p06,p07,p08,p09
87,-1.887383298960546,-2.5335841877288043,-2.978561252093559,-3.3202230415059817,-3.613972213598221,-3.9032173181175023,-4.256859540157026
88,-2.0201663739201567,-2.7218857814527153,-3.2036471262451958,-3.572801277696863,-3.8897931647238257,-4.201713940634627,-4.58280125347027
89,-2.138252470792801,-2.89606029555477,-3.4148549476442023,-3.8116084800774885,-4.151895238057268,-4.4865354842358425,-4.895118311383029
90,-2.23699702849941,-3.0512006000359637,-3.6071091643401276,-4.031443019053104,-4.394969959340189,-4.752271191103441,-5.188281429743357
91,-2.311615442888043,-3.182310911830588,-3.775279965656675,-4.2270748590995,-4.613702015476184,-4.993523931367194,-5.456799387189825
92,-2.357276373655426,-3.2844093348780357,-3.9142908222684514,-4.393356392631064,-4.8028826131045195,-5.205025787208861,-5.6953369852835944
93,-2.369199043039616,-3.3526319587496634,-4.0192259516925395,-4.5253319783998265,-4.957520526583769,-5.3817503651339855,-5.898828600868811
94,-2.342751529312448,-3.382335263648595,-4.08543435235873,-4.618342775943384,-5.072947398038319,-5.519018382729546,-6.062583872587091
95,-2.27354706856967,-3.36919372057799,-4.108627273807586,-4.66812375227299,-5.144914185722693,-5.612593455142267,-6.182382494497762
96,-2.157535509705455,-3.309289737078913,-4.084966331867346,-4.670890134423256,-5.169676099088272,-5.65876548944626,-6.254555618756497
97,-1.9910873072121138,-3.1991934616771633,-4.011139912417816,-4.623411065630356,-5.1440638816173,-5.6544196522084755,-6.2760519644638135
98,-1.7710677675313535,-3.036030401164913,-3.88442600958534,-4.523068765560656,-5.065539875916669,-5.597089475873873,-6.244487358923512
99,-1.4948996669474246,-2.8175352992075187,-3.7027401865877385,-4.367902067810592,-4.932237900558856,-5.484993283223494,-6.158177069996729
100,-1.1606128104604263,-2.542091247274425,-3.464667903665286,-4.156633783577801,-4.742986557058559,-5.317053708235386,-6.016150896351613
101,-0.7668795793273064,-2.208753525321594,-3.1694810027067977,-3.88868189438627,-4.497316143835306,-5.092900652235999,-5.818151542602301
102,-0.313035998153377,-1.8172581778636676,-2.8171386508469176,-3.564155087929688,-4.195449861585354,-4.812858516483942,-5.56461729989981
103,0.2009116791584109,-1.3680158019867328,-2.4082735073013506,-3.183833602600661,-3.8382804352180333,-4.477918981388873,-5.25665046584014
104,0.774294429289446,-0.862091441958901,-1.9441642754395083,-2.749136725747592,-3.4273336403989774,-4.089700948639274,-4.895973262385711
105,1.4058011403325743,-0.3011718389268392,-1.4266961259984168,-2.2620785903144203,-2.964720501270568,-3.650399520447012,-4.484873243224374
106,2.093511356626232,0.3124784337878328,-0.858310722393707,-1.7252141310152513,-2.4530801183220596,-3.162726059464749,-4.0261403238600835
