S,p03,p04,p05,p06,p07,p08,p09
61,4.397897065538123e-05,6.279247949348647e-05,7.699073067393616e-05,8.853679814681617e-05,9.88429601567805e-05,0.00010927349595275457,0.0001224275939090344
62,6.420982665976838e-05,9.07350287189957e-05,0.000110579940904975,0.0001266305352915463,0.00014090192350336636,0.00015529871617956,0.0001733923911243808
63,9.211893569780957e-05,0.00012885625187740793,0.00015610593831591642,0.0001780274983876652,0.00019744440299960045,0.00021696934566486567,0.00024142486554400502
64,0.00012995851762570218,0.0001799759069228725,0.00021676119008441977,0.00024619697057068346,0.00027217089033481495,0.00029820705480486376,0.00033070896501754404
65,0.00018041361161090508,0.00024740003232897115,0.0002962508058356253,0.00033513615555012116,0.0003693199470203301,0.0004034791789781292,0.0004459805034821851
66,0.0002466191836446481,0.0003349221575771333,0.0003987810399085079,0.0004493482297796697,0.0004936369128738516,0.0005377580650049729,0.0005924748536396962
67,0.00033215957597268475,0.0004468010168399636,0.0005290206986884038,0.0005937907120601854,0.0006503109454669004,0.0007064469237632459,0.0007758390833771667
68,0.00044104658085408754,0.0005877113798923028,0.0006920324484641083,0.0007737916621081836,0.0008448782432869673,0.0009152704308172666,0.0010020073636270166
69,0.0005776732228332526,0.0007626657944591331,0.000893172593229713,0.0009949327813528475,0.0010830910975034858,0.0011701303384396844,0.0012770406180272198
70,0.0007467413985426385,0.0009769066674700233,0.0011379596385682755,0.0012629006484674021,0.0013707548300254113,0.0014769288645549716,0.0016069341165353412
71,0.0009531628138680082,0.0012357696809947583,0.0014319139977209128,0.0015833093248984742,0.001713536510287994,0.0018413645862247474,0.001997398707404008
72,0.001201934303595581,0.0015445216489454183,0.0017803731714241544,0.0019614997981420856,0.002116751963501806,0.0022687081591143965,0.002453624001960697
73,0.0014979901960185393,0.0019081776024554298,0.0021882887179386357,0.0024023235931092124,0.002585139198194031,0.002763566820385144,0.002980033435295848
74,0.0018460359531985437,0.002331303552774444,0.002660012884195262,0.002909919309401765,0.003122627804871825,0.0033296480111966176,0.003580042321690846
75,0.0022503688412722767,0.002817812830777089,0.003199083920546464,0.003487492264975245,0.003732115154420068,0.003969533341752207,0.004255830736848987
76,0.002714692639710359,0.003370764955074046,0.003808020238998955,0.004137107607188328,0.004415260295154155,0.004684474465832533,0.005008143222628991
77,0.0032419340083300607,0.003992176000472414,0.004488132905738906,0.004859507240911887,0.0051723059148189865,0.00547422111141227,0.005836125517855173
78,0.003834068823538317,0.004682849943232759,0.005239366382830957,0.005653960054585738,0.00600193825139872,0.006336891111846654,0.006737208168294817
79,0.004491966776459799,0.005442239618957956,0.006060176013789054,0.006518154377355145,0.006901193047581522,0.007268890486467061,0.007707044291926923
80,0.005215261587171449,0.0062683443846633935,0.00694744904966571,0.007448138176768815,0.007865413086116657,0.008264888009257287,0.008739505601429443
81,0.006002253818970793,0.007157650764866297,0.00789647412957617,0.008438311932812415,0.008888261138761955,0.009317848073675528,0.009826739050255995
82,0.0068498516217485594,0.008105119809476147,0.008900962724101014,0.009481475952144436,0.009961789491641504,0.01041912127464073,0.010959282999434272
83,0.007753553203371233,0.00910422366662278,0.009953122259154235,0.010568931383403424,0.011076564150891421,0.011558590971016969,0.01212623962298931
84,0.008707472626823254,0.010147029590457102,0.011043778660457804,0.011690631217531333,0.012221839067461104,0.012724868981295323,0.013315495714927295
85,0.009704410107724826,0.011224331514791963,0.012162546936256291,0.012835377937170378,0.013385775976537673,0.01390553603264344,0.014513986488218222
86,0.010735963170138696,0.012325821912018142,0.013298038883391428,0.013991057524753714,0.01455569882291563,0.015087414692027679,0.015707988935131922
87,0.011792676879451847,0.01344029959660098,0.014438105498948417,0.015144904134123394,0.01571837577984958,0.016256866611774612,0.016883435843828565
88,0.012864226507369736,0.014555906014956932,0.015570101635775657,0.016283783581538813,0.016860317206823794,0.017400102891862446,0.01802623915025947
89,0.013939627764303353,0.01566038033806727,0.016681164823895145,0.01739448682203104,0.01796807905574127,0.018503496022059807,0.01912260925385212
90,0.015007465291594357,0.016741325730151857,0.01775849796104012,0.018464022195630037,0.019028561279998968,0.019553882428802183,0.020159361646676643
91,0.016056134753972273,0.017786477772840925,0.018789649121053742,0.019479899189267513,0.02002929353706051,0.02053884821329177,0.021124200983990704
92,0.017074085272295036,0.01878396358234724,0.01976277258508574,0.02043038867638458,0.020958692803496604,0.021446984217465825,0.022005969788629898
93,0.018050060981433802,0.019722548529887973,0.02066687278423629,0.02130476165485007,0.021806296386372992,0.022268110666523455,0.022794864369402035
94,0.01897332828848519,0.020591858023166765,0.021492015580548696,0.02209348973103431,0.02256295213332038,0.022993458737019523,0.02348260226714416
95,0.019833885920306216,0.02138257281236733,0.02222950749253272,0.022788411571106337,0.023220972780180205,0.023615811257649,0.024062547892000907
96,0.020622652356916404,0.02208659159119719,0.02287203825890316,0.023382858049814104,0.023774245825336493,0.024129597977484707,0.024529789124372314
97,0.021331622312992238,0.022697155781514766,0.023413781153891478,0.023871731853475353,0.024218297389744237,0.024530944164879998,0.0248811673353444
98,0.021953993734058486,0.023208937389718187,0.023850453878537792,0.02425154975504995,0.02455031582915268,0.024817676571586844,0.025115263704300617
99,0.02248426104856094,0.02361809188666797,0.024179340050167752,0.024520441832542872,0.024769133966096035,0.024989290556831634,0.0252323463545423
