S,p03,p04,p05,p06,p07,p08,p09
61,0.006127479801791374,0.008748595008603956,0.010726699854832905,0.012335299301419026,0.013771154225728095,0.015224336857889986,0.01705696668047969
62,0.009242330084365945,0.013060192467347574,0.01591653070528488,0.018226740094954706,0.02028086356197151,0.02235303828055442,0.02495731901205585
63,0.013691321670137495,0.019151259784334254,0.023201132679060592,0.026459136208804596,0.029344898306109778,0.03224672091714877,0.035881338285242245
64,0.019934173015720338,0.027606033148253786,0.03324830555935087,0.03776328910264624,0.041747285404727594,0.045740836593869544,0.050726146193743375
65,0.028546125208149357,0.039144841925543676,0.04687412058830163,0.053026664358290454,0.058435328638155225,0.0638401209760906,0.07056484827894487
66,0.04023305675881876,0.05463837054980707,0.06505603770926233,0.07330538545154922,0.08053050459960481,0.08772831681760125,0.09665470639637785
67,0.05584462850392662,0.07511855531429096,0.08894170110123212,0.09983118284059063,0.10933370641526881,0.11877166384989535,0.1304383900677542
68,0.07638422018174879,0.101784697959309,0.11985191832473897,0.13401176729993178,0.14632328644612058,0.15851460006211826,0.17353675757700998
69,0.1030143656511077,0.13600340545248146,0.1592764188075406,0.17742323723498807,0.19314453383291288,0.2086663467920115,0.22773189768661958
70,0.13705642416876346,0.17930109945363779,0.2088611956221637,0.23179339479792274,0.25158953598126627,0.2710774094625244,0.29493957711330604
71,0.1799833503422516,0.23334808318231648,0.2703865585551579,0.2989752287614437,0.3235668048698695,0.34770550316726156,0.3771707690380585
72,0.23340464811492412,0.29993350187348594,0.3457354541178646,0.3809103059802116,0.4110605778447941,0.44057098209059065,0.47648255333772316
73,0.299042908869368,0.3809309700122422,0.43685211705724036,0.4795823705846039,0.5160802968387848,0.5517024781728774,0.5949193399761021
74,0.37870172676349523,0.4782551401750351,0.5456916772386688,0.5969620451777221,0.6406013904127622,0.6830740953633202,0.7344460268080346
75,0.4742252346060308,0.5938100232907861,0.6741619186802563,0.7349441205772855,0.7864990862182369,0.836536114885017,0.8968753135165514
76,0.5874499838302502,0.7294304030014409,0.8240589341725058,0.8952794679190079,0.955477523265913,1.0137416991026076,1.0837919081971985
77,0.7201503714034108,0.8868181805067599,0.9969988998697471,1.0795040683057866,1.1489968730725442,1.216072495930226,1.2964767418217893
78,0.873979262616259,1.0674759053252991,1.1943485737051645,1.2888679961310656,1.3682014820549926,1.444566309590778,1.5358345182202304
79,1.0504058401680783,1.2726400609259363,1.4171573705167029,1.5242673851841027,1.6138521901370995,1.6998500947815187,1.8023279542192516
80,1.2506530000715859,1.503216858192713,1.6660939654195017,1.786182436186723,1.8862659492924205,1.9820814407939258,2.095921901578562
81,1.4756367914464663,1.7597233291470615,1.941390315531033,2.074624384846291,2.1852656599705145,2.2909014424801755,2.4160401972259105
82,1.725910447114426,2.0422364033771676,2.2427957706833146,2.3890940479856515,2.510142774514723,2.62540142290435,2.7615375825026933
83,2.00161546906108,2.3503523948287253,2.5695435779732323,2.7285541203986297,2.8596347068493566,2.984105403570636,3.1306883966908394
84,2.302442020959139,2.6831589418976898,2.9203315952611164,3.091416831619287,3.2319184684201363,3.3649695480725272,3.5211930241552114
85,2.6276005506403743,3.0392209514912283,3.2933184437286545,3.4755479269016343,3.6246212583129767,3.765399073494269,3.930202302368513
86,2.9758061370346867,3.4165815266373745,3.6861356842393667,3.8782872442411076,4.034848011986725,4.18228237449858,4.354359323703871
87,3.3452765538163898,3.8127782407521016,4.095915932874061,4.2964854629562454,4.459225198242822,4.6120413787797965,4.789857331361502
88,3.7337444934415487,4.224874492814168,4.519336175344835,4.726555932810794,4.893959487259902,5.050696489183326,5.232511756113611
89,4.138483829967954,4.649505071782634,4.952674931000822,5.164539894202402,5.334909325784842,5.4939438988121925,5.677843898389545
90,4.556349247991087,5.082934504349601,5.3918813856213,5.6061828931075475,5.777666978090679,5.937242616542715,6.121173350667197
91,4.983828053913841,5.521126284832034,5.832654181627817,6.047019806623144,6.217648239182916,6.375908228811733,6.557715993592561
92,5.41710253916694,5.9598207095801214,6.27052723980448,6.48246563174526,6.65018681279661,6.805210255281802,6.982684288785457
93,5.852120902587465,6.394618772322946,6.700959799075257,6.907909065305695,7.070630272604239,7.220469932681661,7.391386627815244
94,6.2846744715061575,6.821069431378612,7.119427800416078,7.318805906004755,7.474434584218148,7.617155372252604,7.779322669561051
95,6.710478799406561,7.234757529904767,7.521513801631574,7.710769438553644,7.857254347685139,7.990971268254654,8.142271886752983
96,7.125256159581372,7.631389733790961,7.9029927831131275,8.079655194903612,8.215026206079834,8.337940667069166,8.476372926840003
97,7.524816998081274,8.006876034636345,8.25991147071603,8.421637813278426,8.544043236118348,8.65447671644537,8.778191845797423
98,7.905138045221083,8.35740463331236,8.588659145094546,8.733278105839126,8.841018566734249,8.937442776992821,9.044777769728896
99,8.262435000743196,8.679508352777976,8.886028304224691,9.011578886932714,9.103136936332579,9.184199767591217,9.273705053916004
100,8.593227988913377,8.97012111107598,9.149263975538613,9.254028568892458,9.328093380926994,9.39264011189156,9.463101515843064
101,8.894398307295326,9.226623391775934,9.376100916465013,9.458631995302724,9.514118713274122,9.561208128063825,9.611662801209953
102,9.1632353536375,9.446876064416188,9.56478837609076,9.623928420996464,9.659991897552622,9.688907148466264,9.718653375485609
103,9.397472985654964,9.629242312851893,9.714102500741895,9.748996955583067,9.765039825122557,9.775294045755167,9.783895014874311
104,9.595314939367938,9.772597809361017,9.823346837687374,9.833450146574663,9.829125340834466,9.820462173255606,9.80774398037454
105,9.755449283868067,9.876329612703572,9.892341712327557,9.877416679628936,9.852624655395381,9.825013994255727,9.791058299417621
106,9.87705221231927,9.940324565875791,9.921403520594119,9.881514416170134,9.836395496103378,9.79002486724223,9.735156745338536
107,9.95978175784451,9.964948208365243,9.911315184281122,9.846815157636968,9.78173749702993,9.716999581148578,9.641771202559823
108,10.00376225948063,9.951015404841002,9.863289155940258,9.774802647934955,9.690346417121631,9.607823292743234,9.512994132867547
109,10.009560596042633,9.899754017177465,9.77892445154005,9.667325365221302,9.564263794983319,9.464708519129061,9.351222830220607
110,9.978155347512008,9.812763023200333,9.660159208086938,9.526545655766938,9.405823623085396,9.290139782649476,9.159102070199765
111,9.91090013210627,9.691966501046423,9.509220248080652,9.354886713426325,9.217597545712053,9.086817409365011,8.93946663679479
112,9.809482409242065,9.539564877778517,9.328571061821833,9.15497880176197,9.002339966794892,8.85760184586637,8.69528505908157
113,9.675879041211033,9.357984772728756,9.120859520592717,8.929606008951652,8.762934318200521,8.60545970315485,8.429605707878096
114,9.512309861969825,9.14982866813574,8.88886650264098,8.681654656141902,8.50234156335894,8.333412554861752,8.145506218610876
115,9.321190434743443,8.917825519043632,8.635456463581548,8.414064331425664,8.223551846091581,8.044489335858884,7.84604700696967
116,9.105085077054653,8.664783270910803,8.363530824526677,8.129782339123537,7.9295400049073095,7.741682995572319,7.534229454453367
117,8.866661119215635,8.393544101963357,8.075984882616183,7.8317221776291746,7.623225493782471,7.427911881263682,7.212959152900211
118,8.608645224912337,8.106943051684468,7.775668779173017,7.5227264994826015,7.307437086891966,7.105986150488519,6.885014429833802
119,8.333782469964746,7.8077705398715835,7.465352909044043,7.205534833198968,6.984882572389495,6.778579356190306,6.553020213750926
120,8.044798728636948,7.498739127917986,7.14769799207815,6.88275620715828,6.6581235043727816,6.4482052058956185,6.21942717222268
121,7.744366782320711,7.182454739718125,6.825229903686392,6.55684668329215,6.329554950177396,6.117199370834214,5.886495930074176
122,7.435076428494725,6.861392422923274,6.50031922907246,6.230091682812855,6.001390063659073,5.787706124529279,5.5562860864988295
123,7.119408749503009,6.537876624239658,6.175165408777161,5.90459290853218,5.675649223935153,5.461669501052313,5.230649676946086
